k,Inertia,Silhouette_Score
2,8588.809588144562,0.43805510504407386
3,6351.979843489703,0.34775788787642065
4,4918.64014751373,0.36533397812857893
5,4097.826757210482,0.34214193605533116
6,3552.982533087368,0.3336356834800375
7,3184.841424033567,0.3051777316036368
8,2891.5956225288705,0.2969640485077526
9,2650.603735743329,0.29126332096549273
10,2455.909996927961,0.2918475421386375
